dataset,metodo,rotulo,rank_medio,rank_mediano,melhor_em_instancias
TODOS,PLI,PLI,1.623076923076923,1.5,101
TODOS,ACO_TS,ACO_R-TS,2.0538461538461537,2.0,64
TODOS,HHO_RVNS,HHO-RVNS,2.3230769230769233,2.0,45
CUBIC,ACO_TS,ACO_R-TS,1.1166666666666667,1.0,28
CUBIC,PLI,PLI,2.183333333333333,2.0,5
CUBIC,HHO_RVNS,HHO-RVNS,2.7,3.0,0
DIMACS,PLI,PLI,1.52,1.5,49
DIMACS,HHO_RVNS,HHO-RVNS,1.99,2.0,30
DIMACS,ACO_TS,ACO_R-TS,2.49,2.5,19
HB,PLI,PLI,1.39,1.0,47
HB,ACO_TS,ACO_R-TS,2.18,2.0,17
HB,HHO_RVNS,HHO-RVNS,2.43,2.5,15
