graph,aco_ts,pli,gap,gap_percent,status,runtime_seconds,iterations,evaluations,stop_reason,output_file
cubic_100,79.0,75.0,4.0,5.333333333333334,pior,8.589,1200,438546,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_100.json
cubic_1000,793.0,767.0,26.0,3.389830508474576,pior,151.182,4850,1811092,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1000.json
cubic_1100,879.0,850.0,29.0,3.4117647058823533,pior,153.35,4600,1717082,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1100.json
cubic_1200,951.0,923.0,28.0,3.0335861321776814,pior,283.395,7850,2939212,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1200.json
cubic_1300,1042.0,1003.0,39.0,3.8883349950149553,pior,95.96,2450,908596,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1300.json
cubic_1400,1118.0,1075.0,43.0,4.0,pior,198.266,4750,1773488,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1400.json
cubic_1500,1199.0,1154.0,45.0,3.8994800693240896,pior,165.376,3700,1378646,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1500.json
cubic_1600,1278.0,1236.0,42.0,3.3980582524271843,pior,174.681,3550,1322240,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1600.json
cubic_1700,1355.0,1308.0,47.0,3.5932721712538225,pior,354.078,7100,2657182,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1700.json
cubic_1800,1436.0,1386.0,50.0,3.6075036075036073,pior,252.348,4750,1773488,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1800.json
cubic_1900,1519.0,1472.0,47.0,3.192934782608696,pior,371.552,6600,2469162,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_1900.json
cubic_200,157.0,152.0,5.0,3.289473684210526,pior,26.769,2700,1002606,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_200.json
cubic_2000,1596.0,1556.0,40.0,2.570694087403599,pior,328.435,5550,2074320,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2000.json
cubic_2100,1672.0,1632.0,40.0,2.450980392156863,pior,509.029,8200,3070826,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2100.json
cubic_2200,1754.0,1743.0,11.0,0.6310958118187034,pior,622.771,9200,3446866,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2200.json
cubic_2300,1836.0,1815.0,21.0,1.1570247933884297,pior,556.301,8150,3052024,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2300.json
cubic_2400,1926.0,1913.0,13.0,0.6795608991113434,pior,326.707,4450,1660676,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2400.json
cubic_2500,2014.0,1984.0,30.0,1.5120967741935485,pior,250.364,3400,1265834,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2500.json
cubic_2600,2101.0,2086.0,15.0,0.7190795781399808,pior,361.63,4750,1773488,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2600.json
cubic_2700,2176.0,2156.0,20.0,0.927643784786642,pior,366.12,4600,1717082,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2700.json
cubic_2800,2245.0,2235.0,10.0,0.44742729306487694,pior,598.201,7200,2694786,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2800.json
cubic_2900,2348.0,2326.0,22.0,0.9458297506448838,pior,306.536,3600,1341042,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_2900.json
cubic_300,239.0,228.0,11.0,4.824561403508771,pior,25.884,2000,739378,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_300.json
cubic_3000,2408.0,2424.0,-16.0,-0.6600660066006601,melhor,515.767,5800,2168330,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_3000.json
cubic_400,322.0,303.0,19.0,6.270627062706271,pior,19.711,1300,476150,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_400.json
cubic_500,398.0,386.0,12.0,3.1088082901554404,pior,47.456,2600,965002,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_500.json
cubic_600,477.0,462.0,15.0,3.2467532467532463,pior,47.656,2350,870992,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_600.json
cubic_700,555.0,539.0,16.0,2.9684601113172544,pior,82.645,3450,1284636,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_700.json
cubic_800,642.0,610.0,32.0,5.245901639344262,pior,63.147,2350,870992,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_800.json
cubic_900,720.0,694.0,26.0,3.7463976945244957,pior,92.5,3200,1190626,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/cubic_900.json
DSJC1000.1,78.0,50.0,28.0,56.00000000000001,pior,900.875,650,231724,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJC1000.1.json
DSJC1000.5,15.0,12.0,3.0,25.0,pior,906.352,92,11140,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJC1000.5.json
DSJC1000.9,6.0,5.0,1.0,20.0,pior,934.098,26,3220,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJC1000.9.json
DSJC125.5,10.0,8.0,2.0,25.0,pior,43.918,1100,400942,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJC125.5.json
DSJC500.5,13.0,10.0,3.0,30.0,pior,900.495,587,198560,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJC500.5.json
DSJC500.9,6.0,5.0,1.0,20.0,pior,901.283,139,29582,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJC500.9.json
DSJR500.1,122.0,110.0,12.0,10.909090909090908,pior,132.948,2950,1096616,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/DSJR500.1.json
brock200_3,9.0,7.0,2.0,28.57142857142857,pior,321.384,1037,367778,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/brock200_3.json
brock800_3,10.0,8.0,2.0,25.0,pior,1846.455,100,24902,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/brock800_3.json
brock800_4,11.0,8.0,3.0,37.5,pior,1740.429,100,24902,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/brock800_4.json
c-fat200-1,39.0,37.0,2.0,5.405405405405405,pior,14.454,1042,368378,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/c-fat200-1.json
c-fat200-5,8.0,7.0,1.0,14.285714285714285,pior,159.386,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/c-fat200-5.json
c-fat500-1,83.0,80.0,3.0,3.75,pior,80.078,2450,908596,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/c-fat500-1.json
david,6.0,6.0,0.0,0.0,igual,9.275,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/david.json
flat1000_50_0,15.0,12.0,3.0,25.0,pior,1841.156,100,24902,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/flat1000_50_0.json
flat300_28_0,12.0,10.0,2.0,20.0,pior,403.398,1100,400942,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/flat300_28_0.json
gen400_p0.9_55,5.0,4.0,1.0,25.0,pior,966.402,200,62506,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/gen400_p0.9_55.json
hamming10-4,9.0,5.0,4.0,80.0,pior,923.2,28,3460,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/hamming10-4.json
hamming6-4,12.0,10.0,2.0,20.0,pior,9.048,1047,368978,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/hamming6-4.json
hamming8-2,5.0,4.0,1.0,25.0,pior,931.086,550,194120,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/hamming8-2.json
hamming8-4,9.0,6.0,3.0,50.0,pior,392.805,1056,382860,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/hamming8-4.json
inithx.i.2,180.0,180.0,0.0,0.0,igual,255.882,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/inithx.i.2.json
johnson16-2-4,9.0,5.0,4.0,80.0,pior,66.426,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/johnson16-2-4.json
johnson8-4-4,7.0,5.0,2.0,40.0,pior,20.402,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/johnson8-4-4.json
keller6,9.0,28.0,-19.0,-67.85714285714286,melhor,1184.539,1,220,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/keller6.json
le450_15d,41.0,25.0,16.0,64.0,pior,441.42,1200,438546,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/le450_15d.json
le450_25b,110.0,83.0,27.0,32.53012048192771,pior,145.517,1350,494952,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/le450_25b.json
le450_25c,52.0,31.0,21.0,67.74193548387096,pior,574.144,1400,513754,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/le450_25c.json
le450_5a,94.0,65.0,29.0,44.61538461538462,pior,146.625,3400,1265834,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/le450_5a.json
le450_5b,94.0,66.0,28.0,42.42424242424242,pior,124.861,2900,1077814,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/le450_5b.json
miles250,77.0,68.0,9.0,13.23529411764706,pior,10.443,1065,383940,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/miles250.json
mulsol.i.3,26.0,26.0,0.0,0.0,igual,45.151,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/mulsol.i.3.json
mulsol.i.5,26.0,26.0,0.0,0.0,igual,41.513,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/mulsol.i.5.json
myciel3,8.0,7.0,1.0,14.285714285714285,pior,5.229,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/myciel3.json
myciel6,18.0,12.0,6.0,50.0,pior,10.807,1004,363818,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/myciel6.json
myciel7,21.0,13.0,8.0,61.53846153846154,pior,27.637,1021,365858,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/myciel7.json
p_hat1000-2,28.0,9.0,19.0,211.11111111111111,pior,907.753,88,10660,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/p_hat1000-2.json
p_hat1500-3,10.0,6.0,4.0,66.66666666666666,pior,909.969,10,1300,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/p_hat1500-3.json
p_hat300-3,7.0,5.0,2.0,40.0,pior,942.55,650,231724,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/p_hat300-3.json
p_hat500-2,17.0,8.0,9.0,112.5,pior,906.865,250,81308,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/p_hat500-2.json
queen11_11,18.0,14.0,4.0,28.57142857142857,pior,20.274,1100,400942,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/queen11_11.json
queen16_16,28.0,20.0,8.0,40.0,pior,79.495,1028,366698,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/queen16_16.json
queen5_5,8.0,7.0,1.0,14.285714285714285,pior,5.643,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/queen5_5.json
queen7_7,11.0,9.0,2.0,22.22222222222222,pior,8.233,1009,364418,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/queen7_7.json
san200_0.7_1,7.0,6.0,1.0,16.666666666666664,pior,218.792,1005,363938,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/san200_0.7_1.json
san200_0.7_2,7.0,6.0,1.0,16.666666666666664,pior,239.951,1100,400942,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/san200_0.7_2.json
san400_0.5_1,17.0,8.0,9.0,112.5,pior,944.163,550,194120,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/san400_0.5_1.json
san400_0.7_1,8.0,6.0,2.0,33.33333333333333,pior,982.513,350,118912,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/san400_0.7_1.json
sanr200_0.7,7.0,6.0,1.0,16.666666666666664,pior,475.819,1231,442266,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/sanr200_0.7.json
zeroin.i.1,176.0,175.0,1.0,0.5714285714285714,pior,48.279,1000,363338,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/zeroin.i.1.json
1138_bus,1067.0,959.0,108.0,11.261730969760167,pior,100.415,2650,983804,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/1138_bus.json
662_bus,573.0,521.0,52.0,9.980806142034549,pior,31.937,1350,494952,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/662_bus.json
bcspwr03,98.0,89.0,9.0,10.112359550561797,pior,8.706,1046,368858,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcspwr03.json
bcspwr06,1318.0,1181.0,137.0,11.600338696020323,pior,152.846,3300,1228230,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcspwr06.json
bcspwr10,5242.0,3835.0,1407.0,36.688396349413296,pior,373.803,2100,776982,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcspwr10.json
bcsstk03,62.0,60.0,2.0,3.3333333333333335,pior,8.543,1088,386700,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk03.json
bcsstk04,23.0,19.0,4.0,21.052631578947366,pior,21.212,1100,400942,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk04.json
bcsstk06,135.0,123.0,12.0,9.75609756097561,pior,47.366,1550,570160,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk06.json
bcsstk09,306.0,193.0,113.0,58.549222797927456,pior,148.685,2550,946200,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk09.json
bcsstk11,257.0,219.0,38.0,17.35159817351598,pior,348.589,2700,1002606,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk11.json
bcsstk13,277.0,216.0,61.0,28.240740740740737,pior,900.112,1840,668970,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk13.json
bcsstk15,707.0,545.0,162.0,29.724770642201836,pior,904.666,1600,588962,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk15.json
bcsstk19,380.0,343.0,37.0,10.787172011661808,pior,67.817,2200,814586,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk19.json
bcsstk20,281.0,270.0,11.0,4.074074074074074,pior,36.485,1850,682972,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk20.json
bcsstk21,1982.0,1718.0,264.0,15.366705471478465,pior,900.602,7400,2769994,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk21.json
bcsstk22,100.0,98.0,2.0,2.0408163265306123,pior,12.406,1350,494952,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk22.json
bcsstk23,1076.0,916.0,160.0,17.46724890829694,pior,672.622,4150,1547864,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk23.json
bcsstk24,325.0,261.0,64.0,24.521072796934863,pior,931.015,900,325734,time_limit,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk24.json
bcsstk26,501.0,451.0,50.0,11.086474501108649,pior,438.355,3950,1472656,stagnation,/home/hscheric/Projects/tcc-experiments/results/experiments/aco_ts_stagnation1000_vs_pli/bcsstk26.json
